seed,total-variance,feature1-xor_xor_xor
0,13.82386208,0.34812169
0,13.89343262,0.34845343
0,13.96175766,0.34878210
0,14.02812195,0.34909609
0,14.09322643,0.34940475
0,14.15678406,0.34969760
0,14.21912479,0.34998918
0,14.28028297,0.35027567
0,14.34017372,0.35055265
0,14.39854145,0.35082195
0,14.45596600,0.35108589
0,14.51205540,0.35133966
0,14.56722546,0.35159121
0,14.62154007,0.35183726
0,14.67477036,0.35207515
0,14.72672844,0.35230710
0,14.77781105,0.35253266
0,14.82816315,0.35275825
0,14.87744522,0.35297124
0,14.92585087,0.35318068
0,14.97360420,0.35338792
0,15.02031136,0.35358597
0,15.06652260,0.35378413
0,15.11182404,0.35397608
0,15.15636635,0.35416439
0,15.20038033,0.35434988
0,15.24343967,0.35453011
0,15.28584576,0.35470599
0,15.32758904,0.35487859
0,15.36880684,0.35504970
0,15.40927887,0.35521780
0,15.44916725,0.35538189
0,15.48836327,0.35554185
0,15.52713490,0.35570109
0,15.56508064,0.35585392
0,15.60289383,0.35600877
0,15.63997269,0.35615906
0,15.67649364,0.35630387
0,15.71263123,0.35644789
0,15.74826241,0.35659078
0,15.78329468,0.35672994
0,15.81809044,0.35686921
0,15.85211754,0.35700324
0,15.88587666,0.35713625
0,15.91913986,0.35726747
0,15.95210552,0.35739664
0,15.98459339,0.35752359
0,16.01663208,0.35764875
0,16.04846954,0.35777380
0,16.07960892,0.35789329
0,16.11076736,0.35801476
0,16.14146042,0.35813386
0,16.17171669,0.35825023
0,16.20182991,0.35836724
0,16.23148918,0.35848073
0,16.26083755,0.35859244
0,16.28987885,0.35870334
0,16.31836700,0.35881157
1,0.08895171,-0.00212296
1,0.08558962,-0.00197807
1,0.08522255,-0.00194245
1,0.08559540,-0.00190782
1,0.08652493,-0.00187506
1,0.08779313,-0.00186357
1,0.08912644,-0.00186730
1,0.09055769,-0.00188389
1,0.09216207,-0.00191529
1,0.09401157,-0.00195099
1,0.09601551,-0.00197698
1,0.09845044,-0.00200649
1,0.10078797,-0.00204839
1,0.10318772,-0.00206946
1,0.10580580,-0.00210090
1,0.10840879,-0.00213460
1,0.11095919,-0.00215396
1,0.11350615,-0.00217597
1,0.11595739,-0.00219279
1,0.11842182,-0.00220047
1,0.12091812,-0.00219683
1,0.12345730,-0.00217625
1,0.12623957,-0.00214977
1,0.12888312,-0.00212828
1,0.13159598,-0.00211004
1,0.13446748,-0.00209910
1,0.13744834,-0.00208095
1,0.14064646,-0.00208206
1,0.14382862,-0.00210253
1,0.14706866,-0.00213969
1,0.15048118,-0.00218293
1,0.15415445,-0.00222782
1,0.15811685,-0.00227948
1,0.16233402,-0.00233773
1,0.16702977,-0.00239803
1,0.17210752,-0.00246458
1,0.17781863,-0.00254735
1,0.18402493,-0.00262808
1,0.19093531,-0.00268659
1,0.19838245,-0.00273506
1,0.20592253,-0.00281760
1,0.21400395,-0.00287767
1,0.22287267,-0.00292840
1,0.23153192,-0.00297596
1,0.24150434,-0.00303591
1,0.25115591,-0.00308616
1,0.26184332,-0.00312790
1,0.27341706,-0.00319647
1,0.28327718,-0.00327410
1,0.29747728,-0.00332908
1,0.30856222,-0.00335895
1,0.32376546,-0.00335656
1,0.33797100,-0.00337212
1,0.35532373,-0.00342292
1,0.36995026,-0.00344634
1,0.38759610,-0.00338572
1,0.40983900,-0.00331774
1,0.45227265,-0.00007243
1,0.71594757,0.06759345
1,1.51544917,0.21810018
1,2.47974491,0.29742165
1,3.14632130,0.33052074
1,3.63027573,0.34868280
1,4.00089216,0.36058231
1,4.30322409,0.36927430
1,4.55401325,0.37604918
1,4.77551270,0.38152355
1,4.96657848,0.38609165
1,5.13801289,0.38995126
1,5.29542446,0.39328501
1,5.43833447,0.39619278
1,5.56707573,0.39878682
1,5.68803310,0.40109457
1,5.79960728,0.40319132
1,5.90554619,0.40510019
1,6.00356865,0.40685619
1,6.09618568,0.40848682
1,6.18380404,0.40999483
1,6.26730967,0.41140389
1,6.34701967,0.41272438
1,6.42173719,0.41396847
1,6.49441528,0.41513668
1,6.56354475,0.41624420
1,6.62991428,0.41729593
