seed,epoch,test-loss,total-acc,test-acc_feature1,test-loss_feature1
4,15100,0.00676912,0.99902344,0.99902344,0.00676912
4,15200,0.00670410,0.99902344,0.99902344,0.00670410
4,15300,0.00664385,0.99902344,0.99902344,0.00664385
4,15400,0.00658559,0.99902344,0.99902344,0.00658559
4,15500,0.00652917,0.99902344,0.99902344,0.00652917
4,15600,0.00646937,0.99902344,0.99902344,0.00646937
4,15700,0.00642072,0.99902344,0.99902344,0.00642072
4,15800,0.00636870,0.99902344,0.99902344,0.00636870
4,15900,0.00631611,0.99902344,0.99902344,0.00631611
4,16000,0.00626501,0.99902344,0.99902344,0.00626501
4,16100,0.00621716,0.99902344,0.99902344,0.00621716
4,16200,0.00616788,0.99902344,0.99902344,0.00616788
4,16300,0.00612243,0.99902344,0.99902344,0.00612243
4,16400,0.00607742,0.99902344,0.99902344,0.00607742
4,16500,0.00603040,0.99902344,0.99902344,0.00603040
4,16600,0.00598955,0.99902344,0.99902344,0.00598955
4,16700,0.00594385,0.99902344,0.99902344,0.00594385
4,16800,0.00590124,0.99902344,0.99902344,0.00590124
4,16900,0.00585889,0.99902344,0.99902344,0.00585889
4,17000,0.00581770,0.99902344,0.99902344,0.00581770
4,17100,0.00577770,0.99902344,0.99902344,0.00577770
4,17200,0.00573679,0.99902344,0.99902344,0.00573679
4,17300,0.00569756,0.99902344,0.99902344,0.00569756
4,17400,0.00565950,0.99902344,0.99902344,0.00565950
4,17500,0.00562021,0.99902344,0.99902344,0.00562021
4,17600,0.00558269,0.99902344,0.99902344,0.00558269
4,17700,0.00554573,0.99902344,0.99902344,0.00554573
4,17800,0.00550905,0.99902344,0.99902344,0.00550905
4,17900,0.00547306,0.99902344,0.99902344,0.00547306
4,18000,0.00543884,0.99902344,0.99902344,0.00543884
